Country,Country-Code,ISO-Code,FAOCou-Code,ContinentOld,Income,Domain,ContinentNew,MagnetCou-Code,MagnetRegion,Carbon region,ContinentValidation
Ecuador,h7,ECU,58,South America,UM,Trp,South America,ECU,RestLatiAmer,South America,Latin America
French Guiana,h8,GUF,69,South America,NotaNr,Trp,South America,xsm,RestLatiAmer,South America,Latin America
Guyana,h9,GUY,91,South America,LM,Trp,South America,xsm,RestLatiAmer,South America,Latin America
Paraguay,i0,PRY,169,South America,LM,Trp,South America,PRY,RestLatiAmer,South America,Latin America
Peru,i1,PER,170,South America,UM,Trp,South America,PER,RestLatiAmer,South America,Latin America
Suriname,i2,SUR,207,South America,UM,Trp,South America,xsm,RestLatiAmer,South America,Latin America
Uruguay,i3,URY,234,South America,H,Trp,South America,URY,RestLatiAmer,South America,Latin America
"Venezuela, Boliv Rep of",i4,VEN,236,South America,UM,Trp,South America,ven,RestLatiAmer,South America,Latin America
Afghanistan,i5,AFG,2,Asia,L,SubTrp,Asia,xsa,RestAsia,South and Southeast Asia,Asia
Bahrain,i6,BHR,13,Asia,H,SubTrp,Asia,BHR,MENA,Western and Central Asia,Africa
Bangladesh,i7,BGD,16,Asia,L,Trp,Asia,BGD,RestAsia,South and Southeast Asia,Asia
Bhutan,i8,BTN,18,Asia,LM,Trp,Asia,xsa,RestAsia,South and Southeast Asia,Asia
Brunei Darussalam,i9,BRN,26,Asia,H,Trp,Asia,xse,RestAsia,South and Southeast Asia,Asia
Cambodia,j0,KHM,115,Asia,L,Trp,Asia,KHM,RestAsia,South and Southeast Asia,Asia
China,j1,CHN,351,Asia,UM,Temp,Asia,CHN,chn,East Asia,Asia
Cyprus,j2,CYP,50,Asia,H,SubTrp,Asia,CYP,RestEU,Western and Central Asia,Europe
Maldives,j3,MDV,134,Asia,UM,Trp,Asia,xsa,RestAsia,South and Southeast Asia,Asia
India,j4,IND,100,Asia,LM,Trp,Asia,IND,ind,South and Southeast Asia,Asia
Indonesia,j5,IDN,101,Asia,LM,Trp,Asia,IDN,RestAsia,South and Southeast Asia,Asia
"Iran, Islamic Rep of",j6,IRN,102,Asia,UM,SubTrp,Asia,IRN,MENA,Western and Central Asia,Africa
Iraq,j7,IRQ,103,Asia,UM,SubTrp,Asia,xws,MENA,Western and Central Asia,Africa
Israel,j8,ISR,105,Asia,H,SubTrp,Asia,ISR,MENA,Western and Central Asia,Africa
Japan,j9,JPN,110,Asia,H,SubTrp,Asia,JPN,jpn,East Asia,Asia
Jordan,k0,JOR,112,Asia,UM,SubTrp,Asia,xws,MENA,Western and Central Asia,Africa
"Korea, Dem People's Rep",k1,PRK,116,Asia,H,Temp,Asia,xea,RestAsia,East Asia,Asia
"Korea, Republic of",k2,KOR,117,Asia,H,Temp,Asia,KOR,kor,East Asia,Asia
Kuwait,k3,KWT,118,Asia,H,SubTrp,Asia,KWT,MENA,Western and Central Asia,Africa
Laos,k4,LAO,120,Asia,LM,Trp,Asia,LAO,RestAsia,South and Southeast Asia,Asia
Lebanon,k5,LBN,121,Asia,UM,SubTrp,Asia,xws,MENA,Western and Central Asia,Africa
Timor-Leste,k6,TLS,176,Asia,LM,Trp,Asia,xse,RestAsia,South and Southeast Asia,Asia
Malaysia,k7,MYS,131,Asia,UM,Trp,Asia,MYS,RestAsia,South and Southeast Asia,Asia
Mongolia,k8,MNG,141,Asia,LM,Temp,Asia,MNG,RestAsia,East Asia,Asia
Myanmar,k9,MMR,28,Asia,L,Trp,Asia,xse,RestAsia,South and Southeast Asia,Asia
Nepal,l0,NPL,149,Asia,L,SubTrp,Asia,NPL,RestAsia,South and Southeast Asia,Asia
Oman,l1,OMN,221,Asia,H,Trp,Asia,OMN,MENA,Western and Central Asia,Africa
